iter	Passed	Remaining
0	59	59791
1	60	30040
2	60	20114
3	60	15143
4	61	12162
5	61	10178
6	61	8774
7	62	7709
8	62	6878
9	62	6217
10	63	5686
11	63	5240
12	63	4856
13	64	4525
14	64	4239
15	64	3989
16	65	3767
17	66	3609
18	66	3435
19	66	3275
20	67	3130
21	67	3002
22	67	2885
23	68	2774
24	68	2672
25	68	2579
26	69	2493
27	69	2412
28	69	2337
29	70	2268
30	70	2202
31	70	2143
32	71	2087
33	71	2031
34	71	1980
35	72	1932
36	72	1886
37	72	1844
38	73	1804
39	73	1767
40	73	1729
41	74	1695
42	74	1661
43	74	1628
44	75	1599
45	75	1569
46	76	1543
47	76	1516
48	76	1489
49	77	1465
50	77	1440
51	77	1417
52	78	1394
53	78	1372
54	78	1351
55	78	1330
56	79	1313
57	79	1295
58	80	1277
59	80	1259
60	80	1244
61	81	1227
62	81	1212
63	81	1196
64	82	1181
65	82	1167
66	82	1152
67	82	1136
68	83	1123
69	83	1111
70	83	1098
71	84	1086
72	84	1074
73	84	1062
74	85	1051
75	85	1039
76	85	1028
77	86	1018
78	86	1007
79	86	997
80	87	987
81	87	979
82	87	970
83	88	960
84	88	949
85	88	940
86	88	931
87	89	922
88	89	914
89	89	905
90	89	897
91	90	889
92	90	882
93	90	875
94	91	868
95	91	861
96	91	855
97	92	849
98	92	846
99	93	839
100	93	833
101	93	825
102	94	819
103	94	814
104	94	808
105	95	802
106	95	796
107	95	791
108	96	785
109	96	780
110	96	774
111	97	769
112	97	764
113	97	759
114	97	754
115	98	748
116	98	744
117	99	741
118	99	736
119	99	732
120	100	727
121	101	727
122	101	722
123	101	718
124	102	714
125	102	709
126	103	710
127	103	705
128	103	701
129	104	697
130	104	694
131	105	691
132	105	687
133	105	683
134	106	679
135	106	675
136	106	671
137	106	667
138	107	664
139	107	660
140	107	657
141	108	653
142	108	650
143	108	646
144	109	643
145	109	640
146	109	636
147	110	633
148	110	630
149	110	627
150	111	624
151	111	621
152	111	618
153	111	615
154	112	612
155	112	609
156	112	606
157	113	603
158	113	600
159	114	598
160	114	596
161	114	593
162	115	590
163	115	588
164	115	585
165	116	583
166	116	581
167	116	579
168	117	576
169	117	574
170	117	571
171	118	569
172	118	566
173	118	564
174	119	561
175	119	559
176	119	557
177	120	554
178	120	552
179	120	550
180	121	547
181	121	546
182	122	544
183	122	543
184	122	541
185	123	539
186	123	536
187	123	534
188	124	532
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	125	520
195	126	518
196	126	515
197	126	513
198	127	511
199	127	509
200	127	507
201	128	505
202	128	503
203	128	501
204	128	500
205	129	498
206	129	496
207	129	494
208	130	493
209	130	491
210	131	489
211	131	488
212	131	486
213	131	484
214	132	483
215	132	481
216	132	479
217	133	477
218	133	476
219	133	474
220	134	472
221	134	471
222	134	469
223	135	468
224	135	466
225	135	465
226	136	463
227	136	462
228	136	460
229	137	458
230	137	457
231	137	455
232	138	454
233	138	453
234	138	451
235	139	450
236	139	448
237	139	447
238	140	445
239	140	444
240	140	443
241	140	441
242	141	440
243	141	438
244	141	437
245	142	436
246	142	434
247	142	433
248	143	431
249	143	430
250	143	429
251	144	427
252	144	426
253	144	424
254	145	423
255	145	422
256	145	421
257	146	420
258	146	418
259	146	417
260	147	416
261	147	415
262	147	413
263	147	412
264	148	411
265	148	409
266	148	408
267	149	407
268	149	406
269	149	405
270	150	403
271	150	402
272	150	401
273	151	400
274	151	398
275	151	397
276	151	396
277	152	395
278	152	394
279	153	393
280	153	392
281	153	391
282	153	390
283	154	388
284	154	387
285	154	386
286	155	385
287	155	384
288	155	383
289	156	382
290	156	381
291	156	380
292	157	379
293	157	378
294	157	377
295	158	376
296	158	375
297	158	374
298	159	373
299	159	372
300	159	371
301	160	370
302	160	369
303	160	368
304	161	367
305	161	366
306	162	366
307	162	365
308	162	364
309	163	363
310	163	362
311	163	361
312	164	360
313	164	359
314	164	358
315	165	357
316	165	356
317	165	355
318	166	354
319	166	353
320	166	352
321	167	351
322	167	350
323	167	349
324	168	348
325	168	348
326	168	347
327	168	346
328	169	345
329	169	344
330	169	343
331	170	342
332	170	341
333	170	340
334	171	339
335	171	338
336	171	338
337	172	337
338	172	336
339	172	335
340	173	334
341	173	333
342	173	333
343	174	332
344	174	331
345	174	330
346	175	329
347	175	328
348	175	327
349	176	327
350	176	326
351	176	325
352	177	324
353	177	323
354	177	323
355	178	322
356	178	321
357	178	320
358	179	319
359	179	318
360	179	317
361	179	317
362	180	316
363	180	315
364	181	314
365	181	314
366	181	313
367	181	312
368	182	311
369	182	310
370	182	310
371	183	309
372	183	308
373	183	307
374	184	306
375	184	306
376	184	305
377	185	304
378	185	303
379	185	302
380	185	302
381	186	301
382	186	300
383	186	299
384	187	299
385	187	298
386	187	297
387	188	296
388	188	296
389	188	295
390	189	294
391	189	294
392	189	293
393	190	292
394	190	291
395	190	291
396	191	290
397	191	289
398	191	288
399	192	288
400	192	287
401	192	286
402	193	286
403	193	285
404	193	284
405	194	283
406	194	283
407	194	282
408	195	281
409	195	281
410	195	280
411	195	279
412	196	278
413	196	278
414	196	277
415	197	276
416	197	276
417	197	275
418	198	274
419	198	274
420	198	273
421	199	272
422	199	272
423	199	271
424	200	270
425	200	269
426	200	269
427	200	268
428	201	267
429	201	267
430	201	266
431	202	266
432	202	265
433	202	264
434	203	264
435	203	263
436	203	262
437	204	262
438	204	261
439	204	260
440	205	260
441	205	259
442	205	258
443	206	259
444	207	258
445	207	257
446	207	257
447	208	256
448	208	255
449	208	255
450	209	254
451	209	254
452	209	253
453	210	252
454	210	252
455	210	251
456	211	250
457	211	250
458	211	249
459	212	248
460	212	248
461	212	247
462	213	247
463	213	246
464	213	245
465	214	245
466	214	244
467	214	244
468	215	243
469	215	243
470	215	242
471	216	241
472	216	241
473	216	240
474	216	239
475	217	239
476	217	238
477	217	237
478	218	237
479	218	236
480	218	235
481	218	235
482	219	234
483	219	233
484	219	233
485	219	232
486	220	231
487	220	231
488	220	230
489	221	230
490	221	229
491	221	228
492	221	228
493	222	227
494	222	226
495	222	226
496	222	225
497	223	224
498	223	224
499	223	223
500	223	222
501	224	222
502	224	221
503	224	221
504	224	220
505	225	219
506	225	219
507	225	218
508	225	217
509	226	217
510	226	216
511	226	216
512	227	215
513	227	215
514	227	214
515	228	213
516	228	213
517	228	212
518	228	212
519	229	211
520	229	210
521	229	210
522	229	209
523	230	209
524	230	208
525	230	208
526	231	207
527	231	206
528	231	206
529	231	205
530	232	205
531	232	204
532	232	203
533	232	203
534	233	202
535	233	202
536	233	201
537	233	200
538	234	200
539	234	199
540	234	199
541	235	198
542	235	198
543	235	197
544	235	196
545	236	196
546	236	195
547	236	195
548	236	194
549	237	194
550	237	193
551	237	192
552	237	192
553	238	191
554	238	191
555	238	190
556	239	190
557	239	189
558	239	189
559	239	188
560	240	187
561	240	187
562	240	186
563	241	186
564	241	185
565	241	185
566	241	184
567	242	184
568	242	183
569	242	183
570	243	182
571	243	182
572	243	181
573	243	180
574	244	180
575	244	179
576	244	179
577	244	178
578	245	178
579	245	177
580	245	177
581	245	176
582	246	176
583	246	175
584	246	174
585	246	174
586	247	173
587	247	173
588	247	172
589	248	172
590	248	171
591	248	171
592	248	170
593	249	170
594	249	169
595	249	169
596	249	168
597	250	168
598	250	167
599	250	167
600	250	166
601	251	166
602	251	165
603	251	165
604	251	164
605	252	163
606	252	163
607	252	162
608	253	162
609	253	162
610	253	161
611	253	161
612	254	160
613	254	159
614	254	159
615	255	158
616	255	158
617	255	157
618	255	157
619	256	156
620	256	156
621	256	155
622	256	155
623	257	154
624	257	154
625	257	153
626	257	153
627	258	152
628	258	152
629	258	151
630	258	151
631	259	150
632	259	150
633	259	149
634	259	149
635	260	148
636	260	148
637	260	147
638	261	147
639	261	147
640	261	146
641	261	146
642	262	145
643	262	145
644	262	144
645	263	144
646	263	143
647	263	143
648	264	142
649	264	142
650	265	142
651	265	141
652	265	141
653	266	140
654	266	140
655	266	139
656	267	139
657	267	139
658	267	138
659	268	138
660	268	137
661	268	137
662	269	136
663	269	136
664	269	135
665	270	135
666	270	134
667	270	134
668	271	134
669	271	133
670	271	133
671	271	132
672	272	132
673	272	131
674	272	131
675	273	130
676	273	130
677	273	130
678	274	129
679	274	129
680	274	128
681	275	128
682	275	127
683	275	127
684	275	126
685	276	126
686	276	125
687	276	125
688	277	125
689	277	124
690	277	124
691	278	123
692	278	123
693	278	122
694	278	122
695	279	121
696	279	121
