iter	Passed	Remaining
0	57	57485
1	57	28911
2	58	19392
3	58	14618
4	59	11764
5	59	9856
6	59	8489
7	60	7472
8	60	6678
9	61	6040
10	61	5519
11	61	5084
12	62	4717
13	62	4405
14	62	4136
15	63	3898
16	63	3683
17	64	3496
18	64	3327
19	64	3175
20	65	3037
21	65	2912
22	65	2796
23	66	2692
24	66	2595
25	66	2508
26	67	2426
27	67	2348
28	67	2276
29	68	2210
30	68	2148
31	69	2089
32	69	2033
33	69	1980
34	70	1930
35	70	1884
36	70	1840
37	71	1798
38	71	1758
39	71	1720
40	72	1685
41	72	1650
42	72	1617
43	73	1587
44	73	1558
45	73	1528
46	74	1501
47	74	1475
48	74	1450
49	75	1425
50	75	1402
51	75	1379
52	76	1358
53	76	1338
54	76	1317
55	77	1298
56	77	1279
57	77	1262
58	78	1244
59	78	1228
60	78	1211
61	79	1196
62	79	1180
63	79	1165
64	80	1150
65	80	1137
66	80	1123
67	81	1110
68	81	1098
69	81	1085
70	82	1073
71	82	1062
72	82	1050
73	83	1038
74	83	1027
75	83	1016
76	83	1006
77	84	996
78	84	985
79	84	975
80	85	966
81	85	957
82	85	945
83	85	937
84	86	928
85	86	920
86	86	912
87	87	904
88	87	896
89	87	889
90	88	881
91	88	873
92	88	866
93	89	860
94	89	853
95	89	846
96	90	840
97	90	833
98	90	827
99	91	821
100	91	815
101	91	809
102	92	803
103	92	797
104	92	791
105	93	785
106	93	780
107	93	774
108	94	769
109	94	764
110	94	758
111	95	753
112	95	748
113	95	743
114	95	738
115	96	733
116	96	728
117	96	723
118	97	719
119	97	715
120	97	710
121	98	705
122	98	701
123	98	697
124	99	693
125	99	689
126	99	684
127	99	680
128	100	677
129	100	673
130	100	669
131	101	666
132	101	662
133	101	658
134	102	655
135	102	651
136	102	648
137	103	644
138	103	641
139	103	638
140	104	636
141	104	632
142	105	629
143	105	626
144	105	622
145	105	619
146	106	616
147	106	613
148	106	610
149	107	607
150	107	604
151	107	601
152	108	598
